--- SYNC PROFILE STARTED AT 2026-08-14 15:03:10.061509 ---
Active Regions (18): ['ap-south-2', 'ap-south-1', 'eu-north-1', 'eu-west-3', 'eu-west-2', 'eu-west-1', 'ap-northeast-3', 'ap-northeast-2', 'ap-northeast-1', 'ca-central-1', 'sa-east-1', 'ap-southeast-1', 'ap-southeast-2', 'eu-central-1', 'us-east-1', 'us-east-2', 'us-west-1', 'us-west-2']
Phase 1: Region Discovery Complete.
Phase 2: Submitting 187 tasks to executor...
[SUCCESS] sagemaker in ap-northeast-3: 47.75 seconds (Found: 0)
[SUCCESS] ec2 in us-west-2: 48.57 seconds (Found: 0)
[SUCCESS] redshift in us-west-1: 48.83 seconds (Found: 0)
[SUCCESS] docdb in us-west-1: 49.05 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in ap-south-1: 49.33 seconds (Found: 2)
[SUCCESS] autoscaling in eu-west-3: 49.36 seconds (Found: 0)
[SUCCESS] autoscaling in us-east-1: 49.46 seconds (Found: 0)
[SUCCESS] rds in eu-west-2: 49.48 seconds (Found: 0)
[SUCCESS] docdb in eu-north-1: 49.88 seconds (Found: 0)
[SUCCESS] workspaces in ca-central-1: 50.94 seconds (Found: 0)
[SUCCESS] apprunner in us-east-1: 52.78 seconds (Found: 0)
[SUCCESS] ecs in ca-central-1: 53.53 seconds (Found: 0)
[SUCCESS] ecs in ap-northeast-3: 53.68 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in ap-northeast-1: 54.41 seconds (Found: 0)
[SUCCESS] ec2 in us-east-2: 54.67 seconds (Found: 0)
[SUCCESS] apprunner in ap-southeast-1: 55.03 seconds (Found: 0)
[SUCCESS] apprunner in eu-west-2: 55.70 seconds (Found: 0)
[SUCCESS] workspaces in ap-southeast-1: 55.75 seconds (Found: 0)
[SUCCESS] docdb in ap-southeast-2: 56.63 seconds (Found: 0)
[SUCCESS] eks in ap-northeast-3: 56.83 seconds (Found: 0)
[SUCCESS] eks in ap-southeast-1: 57.04 seconds (Found: 0)
[SUCCESS] eks in eu-north-1: 57.08 seconds (Found: 0)
[SUCCESS] workspaces in ap-northeast-1: 57.48 seconds (Found: 0)
[SUCCESS] eks in us-east-2: 57.69 seconds (Found: 0)
[SUCCESS] eks in sa-east-1: 58.09 seconds (Found: 0)
[SUCCESS] sagemaker in eu-central-1: 58.43 seconds (Found: 0)
[SUCCESS] autoscaling in ca-central-1: 58.83 seconds (Found: 0)
[SUCCESS] eks in ap-northeast-1: 59.13 seconds (Found: 0)
[SUCCESS] rds in eu-west-1: 62.05 seconds (Found: 0)
[SUCCESS] workspaces in eu-west-2: 62.19 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in ca-central-1: 63.50 seconds (Found: 0)
[SUCCESS] redshift in eu-west-2: 63.54 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in ap-south-2: 63.80 seconds (Found: 0)
[SUCCESS] ec2 in ca-central-1: 64.85 seconds (Found: 0)
[SUCCESS] redshift in ap-south-2: 64.99 seconds (Found: 0)
[SUCCESS] ecs in eu-west-1: 65.07 seconds (Found: 0)
[SUCCESS] redshift in ca-central-1: 65.42 seconds (Found: 0)
[SUCCESS] docdb in ap-south-2: 65.46 seconds (Found: 0)
[SUCCESS] docdb in us-east-2: 65.70 seconds (Found: 0)
[SUCCESS] ec2 in eu-north-1: 65.80 seconds (Found: 0)
[SUCCESS] sagemaker in ap-south-2: 66.56 seconds (Found: 0)
[SUCCESS] redshift in sa-east-1: 67.06 seconds (Found: 0)
[SUCCESS] rds in ca-central-1: 67.34 seconds (Found: 0)
[SUCCESS] ec2 in us-east-1: 67.63 seconds (Found: 0)
[SUCCESS] autoscaling in ap-south-2: 69.51 seconds (Found: 1)
[SUCCESS] redshift in ap-south-1: 69.77 seconds (Found: 0)
[SUCCESS] apprunner in eu-west-3: 70.26 seconds (Found: 0)
[SUCCESS] ec2 in ap-south-2: 71.12 seconds (Found: 2)
[SUCCESS] rds in ap-south-2: 71.41 seconds (Found: 2)
[SUCCESS] autoscaling in eu-west-2: 71.91 seconds (Found: 0)
[SUCCESS] rds in us-west-1: 72.00 seconds (Found: 0)
[SUCCESS] docdb in ap-south-1: 72.72 seconds (Found: 0)
[SUCCESS] apprunner in ap-southeast-2: 73.18 seconds (Found: 0)
[SUCCESS] rds in ap-south-1: 73.23 seconds (Found: 0)
[SUCCESS] sagemaker in ap-southeast-2: 73.88 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in eu-west-1: 73.90 seconds (Found: 0)
[SUCCESS] sagemaker in us-east-2: 74.05 seconds (Found: 0)
[SUCCESS] apprunner in us-east-2: 75.01 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in eu-west-2: 75.26 seconds (Found: 0)
[SUCCESS] sagemaker in eu-west-3: 75.43 seconds (Found: 0)
[SUCCESS] docdb in us-east-1: 76.25 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in us-east-1: 78.07 seconds (Found: 0)
[SUCCESS] rds in eu-west-3: 78.17 seconds (Found: 0)
[SUCCESS] ecs in ap-northeast-2: 78.27 seconds (Found: 0)
[SUCCESS] autoscaling in eu-west-1: 78.66 seconds (Found: 0)
[SUCCESS] docdb in ap-southeast-1: 78.96 seconds (Found: 0)
[SUCCESS] ec2 in ap-south-1: 79.85 seconds (Found: 0)
[SUCCESS] autoscaling in us-west-2: 80.90 seconds (Found: 0)
[SUCCESS] workspaces in sa-east-1: 80.91 seconds (Found: 0)
[SUCCESS] ecs in us-east-2: 81.03 seconds (Found: 0)
[SUCCESS] ecs in ap-south-2: 81.33 seconds (Found: 0)
[SUCCESS] rds in ap-northeast-2: 81.57 seconds (Found: 0)
[SUCCESS] ecs in sa-east-1: 81.91 seconds (Found: 0)
[SUCCESS] ecs in eu-west-2: 82.70 seconds (Found: 0)
[SUCCESS] sagemaker in ap-northeast-1: 82.99 seconds (Found: 0)
[SUCCESS] workspaces in eu-central-1: 83.14 seconds (Found: 0)
[SUCCESS] workspaces in ap-northeast-2: 83.30 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in eu-west-3: 83.55 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in sa-east-1: 84.58 seconds (Found: 0)
[SUCCESS] eks in us-east-1: 84.90 seconds (Found: 0)
[SUCCESS] eks in ap-south-1: 86.03 seconds (Found: 0)
[SUCCESS] eks in eu-west-1: 86.49 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in eu-north-1: 87.23 seconds (Found: 0)
[SUCCESS] redshift in eu-north-1: 87.40 seconds (Found: 0)
[SUCCESS] sagemaker in eu-west-2: 87.95 seconds (Found: 0)
[SUCCESS] eks in eu-west-2: 89.06 seconds (Found: 0)
[SUCCESS] eks in ap-northeast-2: 89.20 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in ap-northeast-2: 89.43 seconds (Found: 0)
[SUCCESS] ec2 in ap-southeast-2: 89.45 seconds (Found: 0)
[SUCCESS] autoscaling in ap-southeast-2: 89.82 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in us-west-1: 90.00 seconds (Found: 0)
[SUCCESS] ecs in eu-west-3: 90.04 seconds (Found: 0)
[SUCCESS] sagemaker in eu-west-1: 90.80 seconds (Found: 0)
[SUCCESS] workspaces in ap-south-1: 91.18 seconds (Found: 0)
[SUCCESS] ec2 in ap-northeast-3: 91.46 seconds (Found: 0)
[SUCCESS] ec2 in eu-west-3: 91.50 seconds (Found: 0)
[SUCCESS] docdb in eu-west-3: 91.97 seconds (Found: 0)
[SUCCESS] redshift in eu-west-1: 92.23 seconds (Found: 0)
[SUCCESS] sagemaker in ap-south-1: 92.46 seconds (Found: 0)
[SUCCESS] redshift in ap-southeast-2: 92.81 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in ap-southeast-1: 93.18 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in eu-central-1: 93.30 seconds (Found: 0)
[SUCCESS] elasticbeanstalk in us-west-2: 93.37 seconds (Found: 0)
[SUCCESS] ec2 in eu-central-1: 93.46 seconds (Found: 0)
[SUCCESS] autoscaling in us-west-1: 95.97 seconds (Found: 0)
[SUCCESS] autoscaling in ap-south-1: 97.62 seconds (Found: 3)
Phase 3: asyncio.gather completed in 97.63 seconds. Total Resources Discovered: 14
